imperative                              반드시 해야하는 
determine                               알아내다 / 밝혀내다 
determination                           투지
enthusiasm                              열광
sustain                                 살아가게하다 / 계속시키다
perceive                                감지하다 
conduct                                 (특정한 활동을) 하다
associate                               연상하다
eligible                                ~을 가질 수 있는
circumstance                            환경 정황 형편
demonstrate                             입증하다
sustainable                             지속가능한
emerge                                  드러나다 / 나오다
instrument                              기구 
develop                                 성장하다 / 발달시키다 
acknowledge                             인정하다
transportation                          유배        
estimate                                추정
relevant                                관련있는
persuade                                설득하다
indicate                                나타내다 / 보여주다
authority                               지휘권
claim                                   주장하다
principle                               원칙
throughout                              도처에
anxiety                                 불안
primary                                 주요한 / 주된 기본적인
release                                 석방하다
assistance                              원조 지원

pleasant                                상냥한                 
embrace                                 껴안다
plank                                   널빤지
contemporary                            현대의
commission                              수수료 / 의뢰하다 / 위원회               
ashamed                                 부끄러운                 
afterwards                              나중에
plot                                    구성(줄거리) 
poverty                                 가난
dwell                                   ~에 거주하다 
gouge                                   찌르다 / 박다 
