encryption                                                  암호화
restoration                                                 복원
momentous                                                   중대한 resilient                                                   회복력 있는
genocide                                                    집단학살
loot                                                        약탈하다
plunder                                                     약탈하다
antiquities                                                 유물
shrine                                                      성지
embargo                                                     금수조치
wartime                                                     전시
ups and downs(명사)                                         기복

bequest                                                     유산(재산)
banal                                                       진부한
agitate                                                     동요시키다
compassion                                                  연민
competent                                                   유능한
conceive                                                    생각해내다

allude                                                      암시하다
appall                                                      질리게 하다
apparatus                                                   장치
articulate                                                  명확하게 표현하다
assert                                                      주장하다
balmy                                                       향기로운
barren                                                      불모의
blunder                                                     실수
capacious                                                   넓은
cardinal                                                    가장 중요한
cater                                                       요구에 응하다
