atrocities                                                  잔학한 행위
cronyism                                                    친족주의 
radicals                                                    급진주의자
associate                                                   연관짓다

conserve                                                    보존하다
contend                                                     주장하다
covert                                                      비밀의
entourage                                                   수행단

revolutionary                                               혁명적인
kickoff                                                     경기가 시작되다
stress                                                      강조하다
taint                                                       오점을 남기다
transplant                                                  이식하다 
rhetoric                                                    미사여구
contentious                                                 논쟁을 좋아하는
constrain                                                   제한하다
conform                                                     따르다
congruent                                                   일치하는
consequence                                                 결과
conspicuous                                                 눈에 띄는
contemplate                                                 깊이 생각하다
contempt                                                    경멸
contribute                                                  기여하다
cranky                                                      까다로운
contradict                                                  모순되다/반박하다
controversy                                                 논쟁
