holy grail                                                  성배
exonerate                                                   무죄임을 밝혀 주다
convict                                                     유죄를 선고하다
verdict                                                     (배심원의)평결 
behind bars                                                 감옥에서
on death row                                                사형수 수감동에서
he spent just shy of 시간                                   거의 ~에 가깝게 보냈다
commitments                                                 책무
state-supported                                             국가지원
do away with                                                폐지하다
amendment                                                   (법)개정

corroborate                                                 입증하다
counteract                                                  대항하다
counterpart                                                 상대방
cursory                                                     대충 훑어보는
curtail                                                     축소하다
delusion                                                    망상
deprive                                                     박탈하다
degenerate                                                  타락하다

culminate                                                   절정에 달하다
courteous                                                   공손한
correlate                                                   연관시키다
daunting                                                    위압적인
deduct                                                      공제하다
delinquent                                                  의무를 게을리하는
depict                                                      묘사하다
designate                                                   지정하다
