crude                                                       원유/미가공의
shred                                                       자르다[찢다]
plunge                                                      급락하다 
surge                                                       급증하다
slowing economies                                           경기 침체
coverage                                                    보도[방송]
spark                                                       불러일으키다
contribute                                                  (…의)한 원인이 되다

disparate                                                   이질적인
extraneous                                                  무관한
devote                                                      바치다
disconcert                                                  당황케하다
discreet                                                    신중한

dexterity                                                   솜씨
desirable                                                   바람직한
desperate                                                   절망적인
dilemma                                                     곤경
disclose                                                    공개하다
discourse                                                   담론
disguise                                                    위장하다
dismay                                                      실망
disparity                                                   불균형
exquisite                                                   정교한
extend                                                      확장하다
detect                                                      발견하다
