confideltial                                                비밀의
incarcerated                                                감금의
tear gas                                                    최루탄
break up                                                    해산시키다
break away                                                  분리되다
air strike                                                  공습
ensure                                                      보장하다
have to do with(관용)                                       ~와 관련있다
have nothing to do with                                     ~와 아무 관련이 없다
make up                                                     ~구성하다
breakdown                                                   실패[결렬/와해]
viable                                                      생존 가능한
entrench                                                    확고히하다

distinctive                                                 독특한
eerie                                                       섬뜩한
embark                                                      착수하다
embellish                                                   장식하다/꾸미다
embody                                                      구현하다
encounter                                                   마주치다

fetus                                                       태아
wary                                                        경계하는
dissent                                                     반대
divert                                                      전환하다
divulge                                                     누설하다
dormant                                                     휴면 상태의
equitable                                                   공평한
equivalent                                                  동등한
eradicate                                                   근절하다
erratic                                                     변덕스러운
exaggerate                                                  과장하다
