exhort                                                      권고하다
unleash                                                     촉발시키다
Set off                                                     촉발시키다
crippling                                            제대로 기능을 못 하게 만들다
inclusive                                                   포용적인
exempt                                                      면제된
proliferation                                               급증

responding to                                               ~에 대응하는것
annexation                                                  합병
solemn                                                      엄숙한
collective                                                  공동의
ritual                                                      의례
poll                                                        여론 조사
exclaim                                                     외치다
exploit                                                     이용하다
expedite                                                    신속히 처리하다
facilitate                                                  촉진하다
extravagant                                                 사치스러운

finite                                                      유한한
expel                                                       추방하다
fallacy                                                     오류
fervent                                                     열렬한
fickle                                                      변덕스러운
flourish                                                    번창하다
ambassador                                                  대사
obligation                                                  의무
