Deformable                                                  변형할 수 있는
decompose                                                   분해하다
Spherical                                                   구체의 
consensus                                                   합의
fraud                                                       사기
recall                                                      기억해내다/회수
result in                                                   ~결과를 낳다
elimination                                                 (질병/빈곤/범죄)퇴치
surveillance                                                감시

Post                                                        치료소
charges                                                     혐의/기소
on the other side of                                        ~의 반대편에
defects                                                     결함
take back                                                   회수하다/취소하다
de-escalate                                                 단계적으로 줄이다
relinquish                                                  포기하다
insurgency                                                  반란
changed A with B                                            A를 B로 바꾸다    
issue                                                       공표하다

exchange rate                                               환율  
violation                                                   위반
Constitution                                                헌법
default                                                     채무불이행
currency                                                    통화
conflict                                                    분쟁
extremist                                                   극단주의자
militant                                                    무장군인
hostage                                                     인질
casualties                                                  사상자
collateral damage                                           부수적 피해
humanitarian crisis                                         인도주의적 위기
