accord                                                      합의/부여하다 
bipartisan                                                  양당의
bill                                                        법안/청구서
mainstream                                                  대세
sectarian                                                   종파적
sects                                                       종파

crop up                                                     나타나다
bound                                                       얽매인
means                                                       수단
spokesman                                                   대변인
precursor                                                   전구체(완성품직전)
compound                                                    화합물
run for                                                     ~에 출마하다

statute                                                     법령/규정
affidavit                                                   진술서
subpoena                                                    소환장
plaintiff                                                   원고
deposition                                                  증언녹취
arbitration                                                 중재
testimony                                                   증언
litigation                                                  소송
prosecution                                                 기소
indictment                                                  기소장

appeal                                                      항소
defendant                                                   피고
precedent                                                   선례
