salute                                                      경례를 하다
descend                                                     내려가다
suspended                                                   매달린
modified                                                    개조된
tug                                                         잡아당김

slither                                                     미끄러짐
starboard                                                   (배의)우현
portside                                                    (배의)좌현
penetrates                                                  관통하다
Hurtle                                                      빠르게 돌진하다
Deafening                                                   귀를 먹먹하게 하는
Allude                                                      암시하다
Sacrificial                                                 희생적인
Subside                                                     가라앉다
Grit                                                        이를 악물다
Trudge                                                      터벅터벅 걷다
Relentlessly                                                끈질기게
Obliterate                                                  완전히 파괴하다
helplessly                                                  무력하게 
Lieutenant                                                  중위 
grant                                                       부여하다 
cadet                                                       해군 생도 
gravely                                                     심각하게

driven off                                                  격퇴하다
barrels on                                                  멈추지 않고 돌진하다
score hit after hit                                         계속 명중시키다
take out                                                    제거하다
slams into                                                  강하게 충돌하다
go off                                                      폭발하다
Tap out                                                     모스 부호 메시지를 보내다
Back out                                                    포기하다
Settle down                                                 자리를 잡다
Open up                                                     발사하다
pool in                                                     (물이)고이다
drown                                                       익사시키다
drowns out                                                  (소리를)집어삼키다
covers more distance                                        더 많은 거리를 이동하다
