mitigate                                                        완화시키다
fervent                                                         열렬한
outgoing                                                        퇴임하는
illegible                                                       읽기어려운
propitious                                                      유리한
forlorn                                                         황량한/쓸쓸한
inconsequential                                                 중요하지않은
dismal                                                          음울한

commiserate                                                     위로하다
corny                                                           진부한
hard-wearing                                                    오래가는
crux                                                            곤란한부분
ilk                                                             종류
acquintance                                                     아는사람
glaring                                                         확연한/노려보는

ease                                                            (고통을)덜다
convalescent                                                    요양중인
drivel                                                          쓸데없는말
compliance                                                      준수/(명령에)따름
chuckle                                                         싱긋웃다
go down                                                         기록하다

groundbreaking                                                  (건설현장)기공식\
ingenious                                                       기발한
municipal                                                       지방자치의
intake                                                          섭취
kidnapping                                                      납치
food poisoning                                                  식중독
year-long                                                       일년내내 계속되는
in need                                                         어려움에 처한
lessen                                                          줄이다
groundbreaking                                                  신기원을 이룬
former                                                          예전의/이전의
elixir                                                          영약
bead                                                            구슬
alibi                                                           알리바이
incarnation                                                     생애/화신
clash                                                           충돌
asunder                                                         산산이
cubbyhole                                                       작은방
diameter                                                        지름
