passersby                                                   통행인
discourage                                                  좌절시키다
Break down                                                  고장나다/(감정)무너지다
Bring up                                                    언급하다/기르다
Call off                                                    취소하다
Carry on                                                    계속하다
grow by                                                     ~만큼 커지다/성장하다
inclusion                                                   포함
dependable                                                  믿을수잇는
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
