trouble                                                     수고스러운 일
favor                                                       신세
bale                                                        더미/뭉치
straw                                                       짚
weed                                                        잡초
seedling                                                    묘목
cervical                                                    자궁경부의
cervix                                                      자궁경관
die of 원인                                                ~로 죽다
at-risk                                                  위험한 환경에 있는
lift                                                        증가시키다
maize                                                       옥수수
payments                                                    지급금
hefty                                                       많은/두둑한
undergo                                                     겪다
lead                                                        단서
whereabouts                                                 행방
busted                                                      체포되다
up-front                                                    선불로

call on                                                     촉구하다
call for                                                    요구하다
call off                                                    취소하다
call back                                                   다시 전화하다

overcome                                                    극복하다/압도당하다
dupe                                                        속이다
falsify                                                     조작하다
obsessed                                                    집착하는
prominence                                                  명성
misguided                                                   잘못된 길을 든
disciplined                                                 절제된
discipline                                                  스스로를 단련하다

go by                                                       ~라는 이름으로 불리다
jump on it                                                  즉시 달려들다
pull off                                                    (힘든일을)해내다
stand up for                                               ~를 변호하다
cut ties with                                              ~와 관계를 끊다
blend in                                                    녹아들다
hold up                                                     잠시 멈추다
run for it                                                  도망치다
drop in on                                                  불쑥 방문하다
step up                                                     나서다
help s.b out                                               ~를 도와주다
follow up on                                               ~를 추적조사하다

rock bottom                                                 최악의 상황
leave one's mark                                            자신의 흔적을 남기다
pace yourselves                                             천천히 하다
rough someone up                                            폭력을 쓰다
give off s.t vibes                                         ~한 느낌을 주다
care to 부정사                                             ~해보시겟어요?
