agitate*                                                    뒤흔들다
depress                                                     우울하게 만들다
covert                                                      은밀한 
furtive                                                     은밀한 
banal                                                       따분한
fatuous                                                     어리석은
strive                                                      분투하다
traverse                                                    가로지르다
adept                                                       능숙한
adopt                                                       채택하다
cover*                                                      다루다/보도하다
conjunction                                                 (현상/사건의)결합
wiped out                                                   전멸하다
conducive                                                   도움이 되는

stoke                                                       불을 지피다
unapproved                                                  허가되지않은
amortized                                                   분할 상환하다
suspend                                                     중단시키다/매달다
abundance                                                   풍부
cognitive                                                   인지의
disorder                                                    장애
dehumanize                                                  인간성을 말살시키다
exempt                                                      면제된
social stigma                                               사회적낙인
flawlessly                                                  흠없이
symmetry                                                    대칭/균형
dispensable                                                 불필요한
incompressible                                              압축 불가능한
continuity                                                  연속성
for once                                                    이례적으로
go overboard                                                지나치게 ~하다
go off                                                      폭발하다/맛이가다
fuzzy                                                       모호한/흐릿한
turbulence                                                  난기류, 혼란
up in the air                                               미정인 상태
at rest                                                     정지해 있는
rest energy                                                 고유에너지
rest density                                                기준 밀도
hit rate                                                    적중률
gear towards                                                에 맞추다
derive from                                                 에서 유래하다
open up                                                     가능성을 열다
balance out                                                 균형을 맞추다
push out                                                    밀어내다
look up                                                     찾아보다
arithmetic mean                                             산술 평균

open research problems                                      미해결 연구 문제
well established                                            잘 정립된
in contrast to                                              ~와 대조적으로
in practice                                                 실제로
be content with                                             ~에 만족하다
against the backdrop of                                     ~을 배경으로
in conjunction with                                         ~와 함께

go off of                                                   의지하다
we don’t have any new clues to go off of
