unanimous                                                   만장일치의
rally                                                       대회/집회
disengagement                                               철수
likelihood                                                  가능성
downplay                                                    덜 중요하게 표현하다
exaggerate                                                  과장하다
exacerbate                                                  악화시키다
aggravate                                                   악화시키다
monastery                                                   수도원

immense                                                     어마어마한
inauguration                                                취임식
disruptor                                                   혼란시키는 사람
take effect                                                 시행되다
secretary                                                   장관
embers                                                      불씨
rustic                                                      시골의
coal                                                        석탄

implement                                                   시행하다
enforce                                                     집행하다
impose                                                      부과하다
enact                                                       제정하다
abrupt                                                      갑작스러운
consequential                                               중요한 결과를 지닌
aftermath                                                   여파
backlash                                                    반발
ramifications                                               파급효과
implications                                                영향
ratify                                                      비준하다
outcry                                                      항의
oversight                                                   감독
