unrest                                                      불안
unmet                                                       충족되지 않는
assignment                                                  업무배정
provocative                                                  분열을 초래하는 
goes on                                                     일어나다
down from 수량                                              ~에서 감소햇다
sit 거리 away                                               ~만큼 거리에 위치해 있다
give out                                                    배분하다/할당하다

consolidate                                                  도발적인
divisive                                                  통합하다
polarizing                                                  양극화시키는

geopolitical                                                지정학적인
adversary                                                   적대국
hegemony                                                    패권
superpower                                                  초강대국
neutral                                                     중립적인
incendiary                                                  선동적인
tension                                                     긴장
mediate                                                     중재하다
mitigate                                                    완화하다
bolster                                                     강화하다
undermine                                                   약화시키다
destabilize                                                 불안정하게 하다
outbreak                                                    발병
contagious                                                  전염성의
non-aligned                                                 비동맹의
now that i'm here                                           ~이니까(여기 와보니까)
raises                                                      급여인상
detective                                                   형사
city-state                                                  도시국가
