dominate                                                    가장 중요한 특징이 되다
carbohydrate                                                탄수화물
starch                                                      탄수화물/녹말
plywood                                                     합판
textile                                                     옷감
streak                                                      줄무늬를 넣다
heads                                                       대표하다/책임지다/이끌다
methodical                                                  체계적인
abdomen                                                     복부
saline                                                      식염수
intravenous                                                 정맥주사의
the thinking                                            현재의 접근법(이러한 사고방식)

upheaval                                                    격변
proxy                                                       대리인
containment                                                 봉쇄
appeasement                                                 유화정책
engagement                                                  관여
ostensibly                                                  표면상으로는

paramedics                                                  의료보조과학
avionics                                                    항공 전자 기기
receiver                                                    수신기
allegedly                                                   주장에 따르면
instability                                                 불안정
digitalization                                              디지털화
automation                                                  자동화
privacy                                                     개인정보
reportedly                                                  보도에 따르면
presumably                                                  아마도
sphere of influence                                         영향권
