dwindle                                                     줄어들다/감소하다
downcast                                                    의기소침한/우울한
deference                                                   존경/경의
deliberate                                                  의도적인/신중한
delirious                                                   정신없는
despicable                                                  비열한/경멸할 만한
discern                                                     식별하다

devious                                                     교활한
dazzle                                                      눈부시게 하다/현혹하다
deceit                                                      속임수
decree                                                      포고하다/법령
defiant                                                     반항적인
deft                                                        능숙한
delve                                                       파헤치다/조사하다
demeanor                                                    태도
demise                                                      죽음
denounce                                                    비난하다
depict                                                      묘사하다
desolate                                                    황폐한/쓸쓸한
deteriorate                                                 악화되다
detest                                                      혐오하다/싫어하다
disarray                                                    무질서

discreet                                                    신중한
disposition                                                 성격/배치
dote                                                        맹목적으로 사랑하다
drab                                                        칙칙한/단조로운
drench                                                      흠뻑 적시다
drowsy                                                      졸린/나른한
dull                                                        둔한
tabulate                                                    표로 만들다

causation                                                   인과적 관계
patent                                                      특허를 받다
exclusive                                                   독점적인
extensive                                                   광범위한
sawdust                                                     톱밥
disturb                                                     불안하게만들다/방해하다
ovarian                                                     난소암
