arbitrage                                                   차익거래
underrepresented                                            소외당한
benefit                                                     이득을보다(자동사)
strike down                                                 폐지하다/(판결을)뒤집다
reaction appears mixed                                      반응이 엇갈려 보인다
she brought the case                                        그녀가 소송을 제기했다
ethnicity                                                   민족성
coordination                                                조화
undernourished                                              영양결핍의
nourish                                                     영양분을 공급하다
secure                                                      확보하다/보호하다/안전한
insecurity                                                  불안감
effect                                                      영향
start out on                                                ~을 시작하다
significance                                                중요성/의미
equivocate                                                  애매하게 말하다/회피하다

exhaustive                          thorough, complete (철저한, 완전한)
eccentric                           weird, odd (특이한/괴짜 같은)
ephemeral                           short-lived, temporary (일시적인, 덧없는)
endorse                             support, approve (지지하다, 승인하다)
envision                            imagine, picture (상상하다, 그려보다)
eclipse                             overshadow, outshine (가리다/능가하다)
elate                               excited (기쁘게 하다/들뜨게 하다)
eloquent                            well-spoken, articulate (말을 잘하는/유창한)
embellish                           decorate, exaggerate (꾸미다/과장하다)
embrace                             hug, accept (포옹하다/받아들이다)
emerge                              come out, appear (나타나다/등장하다)
enthrall                            fascinate, captivate (매혹하다, 사로잡다)
entice                              tempt, lure (유혹하다, 꾀다)
enchant                             charm, captivate (매혹하다, 매료시키다)
endure                              put up with, last (견디다, 지속되다)
engulf                              swallow up, overwhelm (삼키다, 압도하다)
erratic                             unpredictable, inconsistent (변덕스러운/일정하지 않은)
evoke                               bring to mind, trigger (떠올리게 하다/불러일으키다)
exalt                               praise highly, glorify (찬양하다, 높이다)
excavate                            dig up, uncover (발굴하다, 파내다)
exempt                              free from, excused( 면제된, 제외된)
exhilarate                          thrill, energize (흥분시키다, 활기차게 하다)
explicit                            clear, direct (명시적인, 분명한)
