pollination                                                 수분(식물의 생식 과정)
hive                                                        벌집
herbicide                                                   제초제
procedure                                                   절차
shape up                                                    전개되다
gross                                                       total
stunting                                                    발육부진
stretch*                                                    압박하다
lingering                                                   오래 끄는
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
