auxiliary                                                   보조의
alternately                                                 번갈아가며 
bipartite                                                   이분된

insulate                                                    절연/단열/방음 처리하다
appeared                                          게재되엇다/발표되엇다/나타나다/…인 것 같다
sanction                                                    제재하다/제재/승인
interest                                                    지분/이자
reduced demand                                              수요감소
long-term                                                   장기
near-term                                                   단기
short-term                                                  단기
extravagant                                                 사치스러운, 과도한
feeble                                                      약한
fray                                                        닳다, 싸움
flounder                                                    허둥대다/헤매다
fumble                                                      실수하다/더듬다

famish                                                      굶주리게 하다
fathom                                                      이해하다
forge                                                       위조하다, 만들어내다
foment                                                      부추기다
ferocious                                                   사나운
facet                                                       면, 측면

tractable                                                   다루기쉬운
odor                                                        냄새
urine                                                       소변
stomach                                                     위(장기)
faint                                                       희미한, 기절하다
fiend                                                       악마, 광신자
flair                                                       재능, 감각
flimsy                                                      얇은, 허술한
folly                                                       어리석음, 바보짓
forbear                                                     참다, 자제하다
forebode                                                    예감하다, 불길한 징조를 보이다
forsake                                                     버리다, 포기하다
foul                                                        더러운, 반칙의
fret                                                        초조해하다
frugal                                                      검소한
fume                                                        연기를 내다, 화내다
futile                                                      헛된
gala                                                        성대한 행사
