gape                                                        입을 벌리다, 멍하니 보다
garner                                                      모으다, 획득하다
garrulous                                                   수다스러운, 말 많은
gaunt                                                       야윈, 쇠약한
gawk                                                        멍하니 보다, 구경하다
genial                                                      다정한, 친근한
configuration                                               환경 설정
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
