irascible                                                   성마른
irksome                                                     성가신
irony                                                       반어
irresolute                                                  결단력 없는
jaded                                                       지친/권태로운
jovial                                                      명랑한
jubilant                                                    환희에 찬
judicious                                                   현명한
jumble                                                      뒤섞이다
juncture                                                    중요한 순간
keen                                                        예리한
kindle                                                      불붙이다/자극하다
knack                                                       재능
knead                                                       반죽하다
lacerate                                                    찢다
laggard                                                     느림보
lament                                                      슬퍼하다
lampoon                                                     풍자하다
languid                                                     무기력한
lanky                                                       마르고 길쭉한
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
