settle for                                                  대체하다
disband                                                     해체하다
get pegged                                                  ~로 간주되다
back to square one                                          처음부터 다시 시작하다
stumped                                                     어찌할 바를 모르다
yappin                                                      수다
odds                                                        확률
right on the mark                                           정곡을 찌르다
conservation                                                보호
overall                                                     대체로
refuge                                                      피난
refugee                                                     난민
take cover                                                  지형을 이용하여 숨다
wreckage                                                    잔해

op-ed                                                       외부칼럼
disclosure                                                  공개
leak                                                        기밀누설
subsistence                                                 생계
disparity                                                   격차/차이
disenfranchised                                             권리박탈당한
marginalized                                                소외된
vulnerable                                                  취약한
reconciliation                                              화해
implications                                                결과/영향
repercussions                                               반향

acute                                                       심각한
considerable                                                상당한
marginal                                                    경미한
negligible                                                  무시할 만한
nominal                                                     명목상의
provocation                                                 도발
aggression                                                  침략
annexation                                                  합병
authentication                                              인증
have yet to + 동사원형                                      아직 ~하지 않았다
