propitious                                                      유리한
ease                                                            (고통을)덜다
ingenious                                                       기발한
fervent                                                         열렬한

acquintance                                                     아는사람
corny                                                           진부한
ilk                                                             종류
forlorn                                                         황량한/쓸쓸한
crux                                                            곤란한부분
commiserate                                                     위로하다
illegible                                                       읽기어려운
convalescent                                                    요양중인

kidnapping                                                      납치
food poisoning                                                  식중독
in need                                                         어려움에 처한
year-long                                                       일년내내 계속되는
mitigate                                                        완화시키다
intake                                                          섭취
lessen                                                          줄이다
groundbreaking                                                  (건설현장)기공식
groundbreaking                                                  신기원을 이룬
former                                                          예전의/이전의
outgoing                                                        퇴임하는
go down                                                         기록하다
elixir                                                          영약
municipal                                                       지방자치의
bead                                                            구슬
alibi                                                           알리바이
incarnation                                                     생애/화신
inconsequential                                                 중요하지않은
glaring                                                         확연한/노려보는
clash                                                           충돌
asunder                                                         산산이
drivel                                                          쓸데없는말
cubbyhole                                                       작은방
dismal                                                          음울한
chuckle                                                         싱긋웃다
diameter                                                        지름
compliance                                                      준수/(명령에)따름
hard-wearing                                                    오래가는
