nonchalant                                                  무심한/태연한
noxious                                                     유해한
obnoxious                                                   불쾌한
obstinate                                                   완고한
obscure                                                   모호한/잘 알려지지 않은
oblivious                                                   알아차리지 못하는

nullify                                                     무효로 만들다
obsess                                                      집착하다
obsolete                                                    한물간/구식의
ominous                                                     불길한
notorious                                                   악명 높은
undermine                                                   약화시키다
quote                                                       인용하다
deputy minister                                             차관
novelty                                                     새로움/신기함
account*                                                    목격담/간주하다/계좌/고려하다

set out                                                     착수하다
come up short                                               실패하다
clamp down                                                  단속하다/억제하다
crack down                                                  단속하다
conk out                                                    고장나다/기절하다
crop up                                                     불쑥 나타나다
cut back                                                    줄이다
cut in                                                      끼어들다
catch on                                                    이해하다/눈치채다
come down with                                              병에 걸리다
burn out                                                    지치다
