assume*                                             (타인의신분을)취하다/추정하다
refute                                                      반박하다
regress                                                     퇴보하다
reiterate*                                                  반복하다
mop up                                                      마무리하다
pan out                                                     성공하다

onerous(발음)                                               부담스러운
pack in                                                     그만두다
pacify                                                      진정시키다
palatable                                                   맛있는/받아들일 만한
opulent                                                     부유한/호화로운
ostentatious                                                과시하는/허세 부리는
own up                                                      자백하다
opt out                                                     빠지다
oust                                                        내쫓다
overbearing                                                 고압적인/거만한
recluse                                                     은둔자
redundant*                                                  불필요한/중복의
refrain                                                     삼가다

move on                                                     넘어가다
nail down                                                   확정하다
miss out                                                    놓치다
mix up                                                      혼동하다
ornate                                                      화려하게 장식된
omnipotent                                                  전능한
nod off                                                     꾸벅꾸벅 졸다
onset                                                       시작
