penchant                                                    애호/강한 기호
peril                                                       위험
perish                                                      죽다/소멸하다
permeate                                                    스며들다

rescind                                                     폐지하다
repudiate                                                   거부하다
respite                                                     일시적 중단
ferret out                                                  찾아내다
gear up                                                     준비하다
pollen                                                      꽃가루 
grain*                                                      곡물/입자/결
fungicides                                                  살균제
microorganism                                               미생물
fungi                                                       곰팡이류/균류
peevish                                                     짜증을 잘 내는
pensive                                                 수심에 잠긴/깊은 생각에 잠긴

make for                                                    향하다
make out                                                    해내다/알아보다
mess up                                                     망치다
cause a scene                                               소동을 일으키다
manage to + 동사원형                                        ~하는 데 성공하다
