pertinent*                                                  적절한
privy*                                                      알게 된
determine*                                                  알아내다/결정하다
persevere                                                   인내심을 갖고 하다

dirt                                                        (평판을 해칠수있는)정보
recipient                                                   수령인
nocturnal                                                   야행성의
sugary                                                      설탕맛이나는
retina                                                      망막
ponder                                                      곰곰이 생각하다
posterity                                                   후세
potent                                                      강력한
pragmatic                                                   실용적인
perplex                                                     혼란스럽게 하다
petty                                                       사소한
philanthropy                                                자선 활동
pinnacle                                                    정점

do away with                                                폐지하다/없애다
do up                                                       장식하다
doze off                                                    깜빡 잠들다
drag on                                                     질질 끌다
draw out                                                    길게 끌다
