pungent                                                         톡 쏘는/자극적인
quench                                                          (갈증 등을)해소하다
rancid                                                          악취나는
keep at                                                      포기하지 않고 계속하다
kick around                                                     논의하다

ascension                                                       승천/승진
deform*                                                         변형시키다
salvage                                                         구조하다/회복하다
taint                                                           오염시키다 
inversion                                                       도치
hunker                                                          잠복하다 
quaint                                                          예스러운 매력이 있는
query                                                           질문/의문
rapport(발음)                                                   친밀한 관계
quibble                                                         트집 잡다
quirk                                                           별난 점
rant                                                            고함치다

give in                                                         굴복하다
hang out                                                        어울리다
hunker down                                                     단단히 준비하다
be set to + 동사원형                                            ~할 예정이다
