reproach                                                        꾸짖다/비난하다
accredited                                                      승인받은
undue                                                           과도한 
pugnacious                                                      싸우기 좋아하는

punctual                                                        시간을 잘 지키는
unmanned                                                        무인의 
prosaic                                                         평범한/지루한
prosper                                                         번영하다
prudent                                                         신중한
precipitate                                                     촉발시키다
yearn                                                           동경하다
absurd                                                          부조리
behalf                                                          이익
affiliate                                                       제휴하다
adverse                                                         부정적인

put out (fires)                                                 불을 끄다/진압하다
put out                                                         놓아두다/배치하다
fend off                                                        막아내다
knock off                                                       그만두다
lead up to                                                      결국 ~에 이르다
