substitution*                                               대입
occlusion*                                                  폐색/폐쇄
discontinuity*                                              불연속면
apparent*                                                   분명한
succession*                                                 연속
auditor                                                     회계감사
shift                                                       변화/교대
shred                                                       작은 조각
supplement                                                  보충
synthesis                                                   종합
trait                                                       특성
turnover                                                    이직률, 회전율
undertaking                                                 사업/과제
articulate                                                  분명히 표현하다
comprehensive                                               포괄적인
constant*                                                   끊임없는/변함없는
conventional                                                관습적인
cordial                                                     진심 어린/다정한
down the road                                               앞으로, 미래에
in the loop                                                 (정보 공유)상황을 알고 있는
