
celsius                                                     섭씨의
discoloration                                               변색
knead                                                       반죽하다
lacerate                                                    찢다
laggard                                                     느림보
lament                                                      슬퍼하다
lampoon                                                     풍자하다
languid                                                     무기력한
lanky                                                       마르고 길쭉한
loathe                                                      혐오하다
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
makeup                                                      구조
be subjected to + 명사                                      ~을 당하다
tend                                                        돌보다
shed                                                        밝히다
coop up                                                     칩거하다
fall for                                                    …에 속다  
