slammer                                                     교도소
lousy                                                       엉망인 
verbosity*                                                  상세도
abort*                                                      중단시키다
poll*                                                       주기적으로 확인하다
respective*                                                 각각의
executable*                                                 실행파일
configured*                                                 설정된
stunt*                                                      꼼수
the pointer to the instance                                 인스턴스의 포인터
the pointer to function                                     함수 포인터
illiteracy                                                  문맹
caregiver                                                   간병인   
switch on                                                   기능을 활성화하다
get roped into                                              억지로 끌려들어가다
have on                                                 ~에 대한 약점을 잡고 있다
do time                                                     감옥살이를 하다
serve time                                                  복역하다

repudiate                                                   거부하다
rescind                                                     폐지하다
respite                                                     일시적 중단
resolute                                                    단호한
retaliate                                                   보복하다
