ledger                                                      (거래내역)장부
plummet                                                     급락하다
retrieve*                                                   되찾아오다
enable*                                                     활성화시키다
underlying*                                                 기반이되는
anatomy*                                                    구조분석
directive*                                                  명령어
resolution*                                            결의안/해결/결심/해상도 
reticent(발음)                                              말이 없는
retract                                                     취소하다
reverberate                                                 울려 퍼지다
reverent                                                    숭배하는
revile                                                      욕하다
rife                                                        만연한

keep s.t apart                                            둘을 분리해서 구분하다
get with                                                    ~와 함께하다
cash in                                                     현금화하다
go for                                                      선택하다
go under                                                    파산하다
grow on                                                     점점 좋아지다
hang around                                                 어슬렁거리다
hang in                                                     버티다
