rile                                                        귀찮게하다
acrid                                                       매캐한
plead                                                       애원하다
adorn                                                       장식하다
nominal                                                     명목상의
weather events                                              기상현상
fester                                                      곪다
Attribution                                                 원인규명
edgy                                                        불안한
frisky                                                      기운찬
disobliging                                                 비협조적인
anomaly                                                     변칙/이례
ascertain                                                   알아내다

function                                                    (사회적)행사/의식
culprit                                                     범인/장본인
crusade                                                     (사회적)운동
rainforest                                                  열대우림
rainfall                                                    강우량
wrongdoer                                                   범법자
opposition                                                  야당
arctic                                                      북극의
veterinarian                                                수의사(vet)
the injured                                                 피해자들 
paw                                                         발바닥
ooze                                                        (액체)흘리다/흐르다
canal                                                       운하/수로
arbiter                                                     결정권자
pretentious                                                 가식적인
behindhand                                                  (빚이)밀린
nick                                                        철창
equestrian                                                  승마
forte                                                       강점
