elusive                                                     잡기 어려운
discretization                                              이산화
inchoate                                                    초기의/미완성의
dilapidated                                                 황폐한
emaciated                                                   야윈
enamored                                                    매료된

decouple                                                    분리하다/연결을 끊다
culminate                                                   정점에 달하다
subsume                                                     포함하다
intricate                                                   복잡한, 정교한
stochastic                                                  확률론적
dissonance                                                  불협화음
epitomize                                                   전형적으로 보여주다
chagrin                                                     원통함
defile                                                      더럽히다
dwindle                                                     줄어들다
insouciant                                                  무관심한/태평한
interminable                                                끝없이 계속되는

drop out                                                    중퇴하다

tear apart                                                  산산조각 내다
The education system has been torn apart.
