salient(발음)                                               가장 중요한
salubrious(발음)                                            건강에 좋은
spurious                                                    가짜의
superfluous                                                 불필요한
supplant                                                    대체하다
staunch                                                     확고한

sublimate                                                   승화시키다
stolid                                                      둔감한
scrupulous                                                  양심적인/꼼꼼한
sedulous                                                    근면한
strident                                                    귀에 거슬리는
supercilious                                                거만한
subversive                                                  체제 전복적인
stagnant                                                    침체된
servile                                                     비굴한
sanguine                                                    낙천적인
sardonic                                                    냉소적인

serendipity                                                 우연한 행운
scarcity                                                    부족/결핍 
rife                                                        만연한
