beaks                                                       (동물의)부리
saliva                                                      침/타액
pervade                                                     만연하다
petulant                                                    성마른
platitude                                                   진부한 말
portentous                                                  불길한
predilection                                                선호
pithy                                                       간결하나 함축적인
polemic                                                     논쟁
precocious                                                  조숙한
poignant                                                    가슴 아픈
plethora                                                    과잉
placate                                                     달래다

it's tempting to 동사                                   ~라고 생각하기 쉽다
put forward                                                 제시하다
work through                                                극복하다
work up                                                     용기 등을 키우다
work around                                                 우회하다
go down                                                     기록하다
bring in                                                    끌어들이다
