vicarious                                                   대리의
vilify                                                      비방하다
perspicacious                                               통찰력 있는
palpable                                                    뚜렷한/감지할 수 있는
parsimonious                                                인색한
vindicate                                                 옹호하다/정당성을 입증하다

veracity                                                    진실성
ostentatious                                                과시하는
verbose                                                     장황한
oscillate                                                   진동하다/흔들리다
tentacles                                                   촉수
vitriolic                                                   신랄한
pacify                                                      진정시키다
paragon                                                     귀감/모범
perfunctory                                                 형식적인
venerate                                                    숭배하다

Hang out                                                    ~에 머무르다
they don't all hang out where people swim

get down to                                                 이제 집중해서 시작하다
push back                                                   미루다
call off                                                    취소하다
gear towards                                                ~에 맞추다
have to do with                                             ~와 관련 있다
have nothing to do with                                     ~와 아무 관련이 없다
