sap                                                         수액
blister                                                     물집
itchy                                                       가려운
rash                                                        발진 
wanton                                                      부당한/무자비한
wary                                                        경계하는
whimsical                                                   변덕스러운
wither                                                      시들다
malleable                                                   유연한/영향을 잘 받는
mendacious                                                  허위의
maverick                                                    독립적인 사람
moribund                                                    소멸 직전의
modicum                                                     소량
zealot                                                      광신도
mollify                                                     달래다

take back                                                   되돌리다/취소하다/회수하다
head in                                                     들어가다
head off                                                    막다
kick around                                                 논의하다
