foraging                                                    수렵 채집(의)
lassitude                                                   나른함/권태
lugubrious                                                  침울한
temerity                                                    무모함
malinger                                                    꾀병을 부리다

latent                                                      잠재적인
lithe                                                       유연한
reverent                                                    숭배하는
surfeit                                                     과다
surreptitious                                               은밀한
tacit                                                       무언의
tangential                                                  주제에서 벗어난

hold back                                                   억제하다
go over                                             검토하다/반복 설명하다/넘어가다
break down                                         복잡한 것을 쉽게 설명하다/분석하다
rule out                                                    배제하다
stick to                                                    ~충실하다
run through                                                 ~을 겪다/검토하다
get to v                                                    ~할 수 있게 되다
