respite                                                     일시적 중단
relent                                                      누그러지다

repudiate                                                   거부하다
relinquish                                                  포기하다
remedial                                                    개선하는
remuneration                                                보수(사례금)
replete                                                     가득 찬
deplete                                                     고갈시키다
rescind                                                     폐지하다
reprehensible                                               비난받을 만한
relegate                                                    좌천시키다
forestall                                                   미연에 방지하다
runny                                                       묽은
slurp                                                       (후루룩)마시다
sticky                                                      끈적거리는

bring about                                                 초래하다/변화 만들다
bring together                                              모으다
bring down                                                  붕괴시키다
take up                                                     시작하다/차지하다/다루다
put up                                                      표시하다/저항하다
