obdurate                                                        고집 센
obsequious                                                      아첨하는
obstreperous                                                    시끄러운/통제하기 힘든
vituperative                                                    비난하는
wan                                                             창백한
wane                                                            약해지다
venal                                                           매수되기 쉬운/부패한 
reiterate                                                       반복하다
rejuvenate                                                      활력을 되찾게 하다
ridge                                                   표면에서 길게 튀어나온 부분을 통칭

trade in                                                        교체하다
run from A to B                                                 A에서 B로 이어진다
set to become                                                   ~가 될 예정이다
holds true                                                      유효하다
under the cover of                                              ~의 틈을 타서
in the shadow of                                                ~의 영향 아래에서
Not when 절                                                     ~할 때는 예외다
word came in that 절                                            소식이 들려왔다
left behind                                                     버려두다
