unctuous(발음)                                                  아첨하는

flibbertigibbet                                                 수다스럽고 경박하게 굴다
marinate                                                        양념에 절이다
vehement                                                        격렬한
undermine                                                       약화시키다
reticent                                                        말이 없는
accomplish                                                      성취하다
tenuous                                                         미약한
tractable                                                       다루기 쉬운
topple                                                          넘어뜨리다
poacher                                                         밀렵꾼 
cattle                                                          가축 
villager                                                        마을사람 
otherworldly                                                    별세계의 
spooky                                                          으스스한
spelunk                                                         동굴 탐험

topple over                                                     넘어지다   
ferret out                                                      찾아내다
get roped into                                                  억지로 끌려들어가다
get used to                                                     ~에 익숙해지다
