swerve                                                          방향을 바꾸다 

in the first place                                              애당초/처음부터 
all the way                                                     내내/줄곧/쭉/아주 멀리서부터 
symbiotic                                                       공생의 
anthropology                                                    인류학 
open range                                                      드넓은 평야 
thistle                                                         엉겅퀴 
flax                                                            아마(식물) 
lawn                                                            잔디밭 
embryo                                                          배아 
coiled-up                                                       똬리를 튼 

shake loose                                                     흔들어서 떨어뜨리다 
hitch a ride                                                    얻어타다 
tangled up                                                      얽히다 
strike out                                                      자신의 힘으로 독립하다/새롭게 시작하다 
track down                                                      추적해서 찾다 
