dreary                                                          우울한
devout                                                          독실한

doorstep                                                        문턱 
all in one piece                                                온전한 상태로 
unaccounted                                                     행방불명인 
rubble                                                          잔해 
surreals                                                        비현실적인
dilute                                                          희석하다
disheveled                                                      단정치않은
devoid                                                          ~이 없는
dissident                                                       반체제적인
ebb                                                             서서히 사그라들다/썰물/쇠퇴하다
douse                                                           (불,전등을)끄다/적시다
tenet                                                           교리
executive                                                       행정[집행]의
goes away                                                       사라지다
facade                                                          외관
edify                                                           계몽하다
effigy                                                          모형
efface                                                          지우다
effervescent                                                    거품이나는

end up six feet under(관용)                                     결국 죽게 된다
