excruciating                                                    극심한
fallow                                                          미개발의

guise                                                           양상 
all in one piece                                                온전한 상태로 
unaccounted                                                     행방불명인 
rubble                                                          잔해 
crooked                                                         비뚤어진 
instill                                                         스며들게 하다 
eel                                                             장어 
trench                                                          도랑/해자/해구 
alike                                                           둘다/똑같이 
translucent                                                     반투명한 
withstand                                                       견뎌내다 
vertebrate                                                      척추동물  
deliberately                                                    의도적으로
expedient                                                       편의적인/처방
allude                                                          암시하다
appall                                                          질리게 하다

delve into                                                      ~을 깊이 파고들다
end up six feet under(관용)                                     결국 죽게 된다
