Full-blown                                                      본격적인/완전히 발달한[진행된] 
square up                                                       맞서다 
gouge                                                           찌르다 
stake                                                           (도박)판돈 
redeem                                                          가치를 되찾다 
poacher                                                         밀렵꾼 
poacher                                                         밀렵꾼 
poacher                                                         밀렵꾼 
poacher                                                         밀렵꾼 
poacher                                                         밀렵꾼 
poacher                                                         밀렵꾼 
poacher                                                         밀렵꾼 
poacher                                                         밀렵꾼 
poacher                                                         밀렵꾼 


Entered into                                                    (어떤 행위나 관계를)시작하거나 참여한다

Up until last week  - Up until ~까지
지난주까지는
