glib                                                                말을 잘하는
blight                                                              망치다/병충해
degradation                                                         비하/수모
damning                                                             비판적인

merger                                                              합병
falsely                                                             사칭하여/허위로
detour                                                              우회하다
rind                                                                껍질
insertion                                                           첨가물
artless                                                             꾸밈없는
goodly                                                              (양이)상당한
heartfelt                                                           진심어린

blare                                                               요란한소리
superior                                                            상급자/우수한
racket                                                              사기
seeds                                                               씨앗
con                                                                 속임수
priority                                                            우선사항
signify                                                             의미하다
victim                                                              피해자
scam                                                                사기
shared statehood                                                    공동국가구상
freak                                                               덕후
reunification                                                       재통일
constitution                                                        헌법
dampen                                                              꺾다(약화시키다)
statehood                                                           국가적 지위
iota                                                                극히 적은양
musty                                                               퀴퀴한
devoid                                                              ~이 전혀없는
feast                                                               잔치
remark                                                              발언/언급하다
epidemic                                                            유행병
