determination                                          투지
emerge                                                 드러나다/나오다
eligible                                               ~을 가질 수 있는
enthusiasm                                             열광
conduct                                                (특정활동을)하다

determine                                              밝혀내다
perceive                                               감지하다 
associate                                              연상하다
pleasant                                               상냥한      
throughout                                             도처에

imperative                                             반드시 해야하는 
sustain                                                지속시키다
circumstance                                           환경/정황/형편
demonstrate                                            입증하다
indicate                                               가르키다
sustainable                                            지속가능한
instrument                                             (정교한)기구 
develop                                                성장하다 
acknowledge                                            인정하다
transportation                                         유배        
estimate                                               추정
relevant                                               관련있는
persuade                                               설득하다
authority                                              지휘권
claim                                                  주장하다
principle                                              원칙
embrace                                                껴안다
release                                                석방하다
anxiety                                                불안
assistance                                             원조 지원
plank                                                  널빤지
contemporary                                           현대의
commission                                        수수료/의뢰하다/위원회
primary                                                주요한/주된 
ashamed                                                부끄러운
afterwards                                             나중에
plot                                                   구성(줄거리)/음모
poverty                                                가난
dwell                                                  ~에 거주하다 
gouge                                                  찌르다/박다 
