flock                                               무리/떼
fleck                                               얼룩
fluke                                               요행
disquiet                                            불안
rampant                                             걷잡을 수 없는

disparate                                           서로 전혀 다른
dismissive                                          무시하는
gross                                               total
duress                                              협박
dross                                               찌꺼기
deter                                               단념시키다
hunch                                               구부리다
brevity                                             간결성
detain                                              구금하다
affirm                                              단언하다 
portend                                             징후이다 
overt                                               공공연연한
vacillate                                           흔들리다 
venerate      	                                    숭배하다

recrimination                                       비난
discrimination                                      차별
aggression                                          침략
as in                                               ~경우와 같이
divest                                              (옷을) 벗다
other than                                          ~외에
bet                                                 틀림없다
constituent                                         ~구성하는/구성성분
philanthropy                                        자선활동
envelop                                             감싸다
tribunal                                            재판소
credulity                                           쉽게 잘 믿음
renewable                                           재생가능한
outrage                                             잔학한행위/격노
germ                                                세균
causes                                              대의
call for                                            요구하다
hurtful                                             마음을 상하게 하는
court                                               법원 / 법정
fling                                               내던지다
impose                                              도입하다
livelihood                                          생계
requisite                                           필요한
groundless                                          근거없는
chronic                                             만성적인
heir                                                상속인
bemoan                                              한탄하다
radiate                                             내뿜다
abbey                                               수녀원
bin                                                 쓰레기통
remnant                                             남는부분/자투리
infection                                           감염
