jiffy                                               short time
flabbergasted                                       크게 놀란
immoderate                                          과도한
gloat                                               흡족해하다
precipitate                                         촉발시키다
enthuse                                             열변을 토하다
elude                                               피하다
erode                                               침식하다
overcome                                            압도당하다
chuck                                               던지다/그만두다
dilatory                                            미적거리는
stick out                                           툭 튀어나오다
nestle                                              (아늑한곳에)눕다/앉다
strand                                              오도가도 못하게하다

feud                                                불화
fastidious                                          깔끔떠는
fastidious                                          까다로운
fractious                                           짜증잘내는
arrant                                              순전한(안좋은강조)
unmitigated                                         완전한(안좋은강조)
utter                                               완전한
nasty                                               못된
coherent                                            일관성있는

cinch                                               아주 쉬운일
rate                                                속도/비율/요금
conscientious                                       양심적인
audacious                                           대담한
pious                                               독실한
acclimate                                           (풍토에)익숙해지다
maroon                                              고립시키다
affix                                               부착하다
cling                                               매달리다
odour                                               악취
blob                                                (작은)방울
dignify                                             위엄있어 보이게하다
impeccable                                          흠 잡을 데 없는
crop                                                농작물/잘라내다
pounce                                              덮치다
intermingle                                         섞다
flattish                                            약간 평평한
award                                               수여하다
dashing                                             늠름한
frolic                                              장난
dispensable                                         없어도되는
disposable                                          일회용의
legislate                                           법률을 제정하다
compel                                              강요하다
