property                                                    특성
evaluation                                                  평가/계산
underlying                                                  기본적인
in terms of                                                 ~의 형태로
specification                                               명세/정의
extradite                                                   인도하다
expedite                                                    신속히 처리하다
Save A as B                                                 A를 B의 용도로 남겨두다

stray                                              길을 잃은/[위치/논의] 벗어나다
momentum                                                    탄력/운동량
withdrew                                                    철회하다/철수하다
reciprocal                                                  상호간의
account for                                                 고려하다/설명하다
simplicity                                                  단순함
instructions                                                명령어
a rounded look                                              둥근 모양
troughs                                                     (움푹파인)골
peaks                                                       봉우리/꼭대기
subtleties                                                  세부요소들
being overt                                                 과하게 드러나는것
overlooked                                                  간과되는
vary                                                        변화시키다/달라지다
cancellation                                                상쇄

refusal                                                     거절
differentiable                                              미분가능한
derivative(수학)                                            미분
derivation(수학)                                            유도과정
derived from                                                ~로부터 유도되다
variant                                                     변형
variation                                                   변화
Invariant                                                   변치않는
spatial                                                     공간의
die out                                                     사라지다/소멸하다
dispersion                                                  확산/분산
distributions                                               분포
The super-positioning                                       중첩
authoring process                                           콘텐츠 제작과정
