tease                                               놀리다
gusto                                               열정
retort                                              대꾸하다
endearment                                          애정을 담은말
grimy                                               때묻은
dabble                                              조금해보다
embody                                              상징하다
perilous                                            아주 위험한
crafty                                              교활한
allay                                               (감정을)가라앉히다
blare                                               요란한소리

grant                                               승인하다
exert                                               (권력을)행사하다
fussy                                               안달복달하는
fuss                                                야단법석
playful                                             장난기많은
disguise                                            변장하다
displace                                            쫒아내다
so as to                                            ~하기 위해서
mauntainous                                         산이 많은
ape                                                 유인원
purposely                                           고의적으로
make fun of                                         조롱하다
learned of                                          알게되다(구동사X)
displacement crisis                                 난민 위기
gambit                                              (계획된)수
pristine                                            아주 깨끗한
custodian                                           관리인
drape                                               걸치다
longing                                             갈망
favourable                                          호의적인
