contemplate                                                 고려하다
rift                                                        균열(틈)
note                                                        음표/음

annul                                                       취소하다
ethos                                                       기풍
bulge                                                       불룩하다/지방
devastation                                                 대대적인 파괴

consent                                                     합의
preach                                                      설교하다
pleasing                                                    기분좋은
jury                                                        배심원단
loaf/loaves                                                 빵 한덩이
mutiny                                                      반란
rebellion                                                   반란
implode(<->explode)                                         내파되다
implosion                                                   내파
weckage                                                     잔해
passenger                                                   승객
shipwreck                                                   난파선
on board                                                    탑승한
bespeak                                                     보여주다
poach                                                       졸이다
renown                                                      명성
reshuffle                                                   개편하다
dovetail                                                    딱 들어맞는
brittle                                                     잘 부러지는
downmarket                                                  저가의/대중적인
calling                                                     소명(의식)
hubbub                                                      왁자지껄한 소리
disunity                                                    분열
