abstention                                                  기권
rejoicing                                                   크게 기뻐함
notably                                                     특히
prefatory                                                   서문 역할을 하는

bravado                                                     허세
perch                                                       앉아있다/횃대
abut                                                        인접해 있는
accede                                                      응하다
open-handed                                                 관대한
collected                                                   아주 침착한
hearty                                                      다정한
lukewarm                                                    미지근한 
autonomous                                                  자주적인
casual                                                      무심한
bloodshed                                                   유혈 사태
hazy                                                        흐릿한
primacy                                                     으뜸
fizzy                                                       거품이 나는
crystallize                                                 확고해지다
hush                                                        침묵
untie                                                       (매듭을)풀다
pandemonium                                                 대혼란 
interrupt                                                   방해하다
contingency                                                 만일의사태
investigate                                                 조사하다
birthright                                                  출생권 
rule                                                        통치
monarchy                                                    군주제
good wishes                                                 안부
govern                                                      다스리다
