soothe        	                                    누그러뜨리다 
portend                                             징후이다 
affirm                                              단언하다 
proclaim                                            선포하다 
recede                                              물러나다
yield                                               생산하다 / 양도하다
overt                                               공공연연한
venerate      	                                    숭배하다
impending                                           임박한 
imbibe                                              마시다 
delineate     	                                    기술하다
empirical     	                                    경험에 의거한
implore       	                                    간청하다
oppress       	                                    탄압하다
vacillate                                           흔들리다 
prolific                                            다작하는 
condone      	                                    용납하다 
conjecture    	                                    추측하다 
jeopardize    	                                    위태롭게하다 
excavate       	                                    발굴하다

suppose                                             추정하다
flatter                                             아첨하다 
reproductive                                        생식의
vanquish                                            완파하다
vacancy                                             공석
imply                                               암시하다
property                                            재산
hospitable                                          친절한 / 환대하는 
divulge                                             누설하다
descendant                                          자손 
essential                                           필수적인
shortage                                            부족 (수량)
aquatic                                             수생의
commend                                             칭찬하다 
nurture                                             양육하다 
harsh                                               가혹한
contribute                                          기부하다 
predict                                             예측하다 
be involved in                                      ~휘말리다 ~에 몰두하다 
notice                                              신경씀
