snapped                                                         이성을 잃은 
vicinity                                                        인근/부근 
notoriety                                                       유명세/악명 
culinary                                                        요리의 
culmination                                                     정점 
feast                                                           포식하다 
converge                                                        모여들다 
solitary                                                        혼자하는 
hibernate                                                       동면하다 
hunker                                                          웅크리다 
creep                                                           살금살금 다가오다 
brim                                                            가장자리
tread                                                           발을 딛다 
husk                                                            껍데기 
arid                                                            매우 건조한 
therein                                                         그 안에  
grueling                                                        녹초로 만드는 
feed                                                            공급하다 
puddle                                                          물웅덩이 
piggyback                                                       어부바 
fork                                                            갈림길 
esophagus                                                       식도 
spacey                                                          공간이 넓은 
in a way                                                        어떤 면에서 
sac                                                             주머니 
mush                                                            곤죽 
paste                                                           반죽 
encase                                                          감싸다 
intestine                                                       창자/장 
snaky                                                           뱀처럼 생긴
pear                                                            배(과일)
