assume                                                          (책임등)떠맡다 
house                                                           보관하다 
inflamed                                                        염증이 생긴 
intolerance                                                     불내증 
pertain                                                         존재하다[적용되다] 
varsity                                                         대표팀
barnacle                                                        따개비
fetus                                                           태아
harden                                                          굳어지다/굳다
fasten                                                          고정시키다 
forage                                                          먹이를 찾다
foraging                                                        수렵채집
unsuspecting                                                    의심하지 않는/이상한 낌새를 못 채는  
pertaining to                                                   ~에 관계된  
take down                                                       함께 끌어들이다 
dub                                                             ~라고 부르다/~라 칭하다
spark                                                           촉발시키다
longevity                                                       장수
feature                                                         주요하게 다루다/전시하다
stench                                                          악취
Introduce                                                       유발하다
Ease out                                                        완화하다
Quintic                                                         5차방정식
artifacts                                                       결함
Construction                                                    구조(설계)
tuck away                                                       안전하게 숨기다     
soar                                                            솟구치다
calf                                                            새끼
dwindle                                                         줄어들다
bustling                                                        북적거리는
sightsee                                                        관광하다
enamored                                                        매료된

Critics dubbed the film a masterpiece.
비평가들은 그 영화를 걸작이라고 불렀다.
