Quarry                                                          채석장 
herbivore                                                       초식 동물 
carnivore                                                       육식 동물 
extinct                                                         멸종된 
riddled with                                                    ~가득찬(안좋은것들로) 
tabby                                                           얼룩무늬 고양이 
sprang into action                                              즉시 행동을 개시하다 
As a nod to                                                     ~에 대한 경의의 표시로
foster                                                          조성하다/위탁(형용사)
thrive                                                          번창하다/잘자라다 
feline                                                          고양이 
viral fame                                                      입소문 
gig                                                             부업 
boost                                                           활력 
shifts                                                          근무 
no-brainer                                                      고민할 필요조차 없는 일
up and about                                                    침대에서 일어나 활동하는 
congenital                                                      선천적인 
rotary                                                          회전하는 
defect                                                          장애/결함 
Inversion                                                       도치 
Component                                                       부품/기능/구성 요소 
nostalgic                                                       향수어린 
showings                                                        상영/공영 
collective                                                      집단의/공동의 
blast                                                           폭발/(훅 밀려드는 한 줄기의) 강한 바람[공기]
deputy                                                          장 다음가는 직급인 부 (부관장 등)
cluttered                                                       어수선한 
advisory                                                        경보 
whopping                                                        엄청큰/무려 
carry                                                           지니다/포함하다/갖추다 
wag                                                             (개가 꼬리를) 흔들다 
canines                                                         개과 동물 
upholster                                                       천[덮개]을 씌우다 
