astounding                                                      믿기 어려운 
partake                                                         참가하다 
alley                                                           골목 
ditch                                                           배수로 
veer off                                                        진로/궤도/주제에서 벗어나다
Roll on                                                         계속되다 
frigid                                                          몹시 추운 
pummel                                                          계속 치다 
Whittle Down                                                    점차적으로 줄이다, 삭감하다 
take on                                                         ~을 떠맡다/~을 받아들이다 
hold out                                                        ~을 간절히 바라다 
Prefecture                                                      지방 행정 구역 (도)
drove                                                           무리/떼 
mass                                                            대규모 
bidder                                                          입찰자 
memorabilia                                                     기념품/수집품 
bid                                                             입찰 
dazzle                                                          눈부심 
find one's way                                                  길을 찾다 
take cover                                                      숨다/피난하다 
endangered                                                      멸종 위기에 처한
frolic                                                          즐겁게 뛰놀다 
exploit                                                         위업/공적/모험적인 행동
Assessments                                                     평가/진단/검진 
loan agreement                                                  임대 계약         
goers                                                           방문객들 
craze                                                           대유행[열풍] 
bun                                                             작은빵
bustle                                                          북적거림   
plumbing                                                        배관작업   
Tremor                                                          미진/(약간의) 떨림   
Death toll                                                      사망자 수   
Shop class                                                      실습 수업   
sway                                                            흔들리다[흔들다]   
embroil                                                         휘말리게 만들다   
