vocational                                                      직업과 관련된 
trade                                                           기술직/전문 기술 분야/업종 
welding                                                         용접 
whip up                                                         뚝딱 만들어내다 
Novel                                                           참신한 
arguably                                                        거의 틀림없이 
That's when 절                                                  바로 그때 ~ 
frisky                                                          기운찬  
fowl                                                            가금류 
coop                                                            닭장 
root for                                                       ~을 응원하다/~의 성공을 바라다 
sentiment                                                       정서/감정 
tariffs                                                         관세 
staggering                                                      충격적인/믿기 어려운 
exercise                                                        행사[발휘]하다 
pelt                                                            공격하다 
what else                                                       다름 아닌/당연하게도 
pooches                                                         강아지들 
snooze                                                          잠깐 자다 
separation                                                      분리 
perk                                                            귀를 쫑긋 세우다  
profoundly                                                      극심하게, 완전히 
recollection                                                    기억 
emerge                                                          드러나다, 알려지다 
crumble                                                         바스러지다
attention                                                       주의/관심
intriguing                                                      아주 흥미로운
less-than-stellar                                               볼품없는
existential                                                     실존주의적인
trippy                                                          비현실적인

