disobedient                                                 반항하는
take over                                                   물려받다
adhere                                                      들러붙다
handful                                                     움큼/줌

nay                                                         그게아니라
callow                                                      미숙한
enfold                                                      감싸다/안다
erstwhile                                                   지금까지의

ruling                                                      지배하는
flap                                                        덮개/퍼덕거리다
impassive                                                   무표정한

baggy                                                       헐렁한
intercept                                                   가로막다
deadlier                                                    deadly비교급/치명적인
controversial                                               논란이 많은
deceptive                                                   기만적인
militant                                                    전투적인
seize                                                       장악하다/점령하다
ignite                                                      불을 붙이다
widespread                                                  광범위한
release                                                     공개하다
film                                                        영상
approval                                                    찬성/인정
explore                                                     (학문을)탐구하다
communicate                                                 (의사를)전달하다
fantasize                                                   공상하다
dizzy                                                       어지러운
impale                                                      찌르다
natty                                                       세련된
churn                                                       휘젓다
